"sample","variable","value","label","n"
"analytic_appearances","TRACESPY","Hispanic","Hispanic",225
"analytic_appearances","TRACESPY","hispanic","hispanic",41
"analytic_appearances","TRACESPY","latino","latino",25
"analytic_appearances","TRACESPY","Peruvian","Peruvian",15
"analytic_appearances","TRACESPY","HISPANIC","HISPANIC",11
"analytic_appearances","TRACESPY","LATINO","LATINO",9
"analytic_appearances","TRACESPY","Puerto Rican","Puerto Rican",9
"analytic_appearances","TRACESPY","Cuban American","Cuban American",7
"analytic_appearances","TRACESPY","Latino/ Hispanic","Latino/ Hispanic",7
"analytic_appearances","TRACESPY","Hispanic American","Hispanic American",6
"analytic_appearances","TRACESPY","Biracial","Biracial",5
"analytic_appearances","TRACESPY","Latina","Latina",5
"analytic_appearances","TRACESPY","Latino","Latino",5
"analytic_appearances","TRACESPY","Hispanic/Latina","Hispanic/Latina",3
"analytic_appearances","TRACESPY","Chicano","Chicano",2
"analytic_appearances","TRACESPY","Indigenous- Mexican","Indigenous- Mexican",2
"analytic_appearances","TRACESPY","Mixed Latino","Mixed Latino",2
"analytic_appearances","TRACESPY","Hispanic.","Hispanic.",1
"analytic_appearances","TRACESPY","Hispanic/Latino","Hispanic/Latino",1
"analytic_appearances","TRACESPY","Hispanic/Mexican","Hispanic/Mexican",1
"analytic_appearances","TCORGI2","Mexico","Mexico",49
"analytic_appearances","TCORGI2","Cuba","Cuba",41
"analytic_appearances","TCORGI2","Colombia","Colombia",28
"analytic_appearances","TCORGI2","Panama","Panama",27
"analytic_appearances","TCORGI2","Peru","Peru",26
"analytic_appearances","TCORGI2","Venezuela","Venezuela",25
"analytic_appearances","TCORGI2","Honduras","Honduras",13
"analytic_appearances","TCORGI2","Lima,Peru","Lima,Peru",13
"analytic_appearances","TCORGI2","Puerto Rico","Puerto Rico",13
"analytic_appearances","TCORGI2","Dominican Republic","Dominican Republic",12
"analytic_appearances","TCORGI2","Mexicali Baja California","Mexicali Baja California",12
"analytic_appearances","TCORGI2","colombia","colombia",10
"analytic_appearances","TCORGI2","Guatemala","Guatemala",9
"analytic_appearances","TCORGI2","Honduran","Honduran",7
"analytic_appearances","TCORGI2","venezuela","venezuela",6
"analytic_appearances","TCORGI2","MEXICO","MEXICO",5
"analytic_appearances","TCORGI2","El Salvador","El Salvador",4
"analytic_appearances","TCORGI2","Brazil","Brazil",2
"analytic_appearances","TCORGI2","Canada","Canada",2
"analytic_appearances","TCORGI2","Columbia","Columbia",2
