"site","dominant_state","dominant_city","rows","controls"
"AQ","NM","Albuquerque",735,168
"AT","GA","Atlanta",105,125
"BN","MA","Boston",35,42
"BT","MD","Baltimore",119,86
"CH","IL","Chicago",410,103
"CL","OH","Lakewood",30,112
"CO","SC","Columbia",209,41
"DC","DC","Washington",154,89
"DL","TX","Dallas",172,138
"DT","MI","Royal Oak",30,43
"FW","TX","Fort Worth",198,123
"GB","NC","Greensboro",59,59
"HS","TX","Houston",231,112
"KC","KS","Olathe",81,121
"LA","CA","Long Beach",56,82
"MI","FL","Miami",124,89
"MS","NJ","East Brunswick",107,118
"NO","NJ","Livingston",37,97
"NT","NJ","Union",35,49
"NY","NY","New York",326,143
"OC","CA","San Clemente",71,121
"PD","PA","Philadelphia",153,77
"RM","VA","Chesterfield",96,30
"RS","CA","Victorville",52,103
"SA","TX","San Antonio",604,124
"SD","CA","San Diego",65,47
"SJ","CA","San Jose",108,46
"ST","WA","Seattle",129,87
"TP","FL","Tampa",125,139
