CONTROL,rechomes_testers,rhgeo_testers,missing_testers,rechomes_addrs,rhgeo_addrs,missing_addrs,missing_testers_pct,missing_addrs_pct
AQ-SA-4904-1,2,2,0,13,12,1,0,7.6923076923076925
AQ-SB-1201-1,2,2,0,7,6,1,0,14.285714285714285
AQ-SB-3606-1,1,1,0,7,6,1,0,14.285714285714285
AQ-SB-3707-1,1,1,0,8,7,1,0,12.5
AQ-SB-3803-1,2,2,0,11,10,1,0,9.090909090909092
AQ-SB-4104-1,2,2,0,8,7,1,0,12.5
AQ-SB-4213-1,2,2,0,6,4,2,0,33.33333333333333
AQ-SB-4408-1,2,2,0,9,7,2,0,22.22222222222222
AQ-SB-4536-1,2,1,1,3,2,1,50,33.33333333333333
AQ-SB-4537-1,2,2,0,14,13,1,0,7.142857142857142
AQ-SH-0701-1,2,2,0,7,6,1,0,14.285714285714285
AQ-SH-4112-1,2,2,0,7,6,1,0,14.285714285714285
AQ-SH-4209-1,2,2,0,5,4,1,0,20
AQ-SH-4220-1,2,2,0,7,6,1,0,14.285714285714285
AQ-SH-4508-1,2,2,0,17,16,1,0,5.88235294117647
AQ-SH-4520-1,2,2,0,7,6,1,0,14.285714285714285
AT-SA-2606-1,2,2,0,8,7,1,0,12.5
AT-SB-3006-1,2,2,0,5,4,1,0,20
AT-SB-3007-1,2,2,0,13,9,4,0,30.76923076923077
AT-SB-3118-1,2,2,0,14,13,1,0,7.142857142857142
AT-SB-3718-1,2,2,0,9,8,1,0,11.11111111111111
BN-SA-1701-1,2,2,0,10,9,1,0,10
BN-SA-2501-1,2,2,0,18,13,5,0,27.77777777777778
BN-SA-2702-1,2,2,0,20,19,1,0,5
BN-SB-3112-1,2,2,0,21,20,1,0,4.761904761904762
BT-SA-3402-1,2,2,0,27,10,17,0,62.96296296296296
BT-SA-4309-1,2,2,0,20,4,16,0,80
BT-SA-4704-1,2,1,1,3,2,1,50,33.33333333333333
BT-SA-4842-1,2,2,0,20,19,1,0,5
BT-SA-5211-1,2,2,0,2,1,1,0,50
BT-SB-1001-1,2,2,0,16,15,1,0,6.25
BT-SB-2804-1,2,2,0,9,8,1,0,11.11111111111111
BT-SH-2610-1,2,2,0,15,14,1,0,6.666666666666667
BT-SH-4108-1,2,1,1,2,1,1,50,50
CL-SA-2203-1,1,1,0,10,9,1,0,10
CL-SA-2502-1,1,1,0,7,6,1,0,14.285714285714285
CL-SA-2712-1,1,1,0,2,1,1,0,50
CL-SA-2804-1,2,2,0,11,10,1,0,9.090909090909092
CL-SA-3404-1,2,2,0,13,12,1,0,7.6923076923076925
CL-SB-2701-1,2,2,0,8,7,1,0,12.5
CL-SB-3504-1,2,2,0,9,8,1,0,11.11111111111111
CL-SH-1601-1,2,2,0,8,7,1,0,12.5
CL-SH-2502-1,2,2,0,7,6,1,0,14.285714285714285
CL-SH-2804-1,2,2,0,24,23,1,0,4.166666666666666
CL-SH-2805-1,2,2,0,5,4,1,0,20
